ID,tank,rbs,time,temp,group,time2,temp2
Tank_12,86,F17,2,18,g2.18,time2,temp18
Tank_13,93,F9,3,18,g3.18,time3,temp18
Tank_19,138,F6,2,20,g2.20,time2,temp20
Tank_2,4,F17,3,16,g3.16,time3,temp16
Tank_20,149,F14,2,20,g2.20,time2,temp20
Tank_21,160,F11,3,20,g3.20,time3,temp20
Tank_25,5,F17,1,16,g1.16,time1,temp16
Tank_26,6,F6,3,16,g3.16,time3,temp16
Tank_27,21,F11,1,16,g1.16,time1,temp16
Tank_28,25,F14,3,16,g3.16,time3,temp16
Tank_29,30,F9,2,16,g2.16,time2,temp16
Tank_3,18,F14,1,16,g1.16,time1,temp16
Tank_30,38,F7,1,16,g1.16,time1,temp16
Tank_35,85,F9,1,18,g1.18,time1,temp18
Tank_36,92,F9,2,18,g2.18,time2,temp18
Tank_37,96,F14,3,18,g3.18,time3,temp18
Tank_38,98,F11,1,18,g1.18,time1,temp18
Tank_39,109,F14,2,18,g2.18,time2,temp18
Tank_4,24,F11,3,16,g3.16,time3,temp16
Tank_40,130,F9,3,20,g3.20,time3,temp20
Tank_42,141,F14,1,20,g1.20,time1,temp20
Tank_45,167,F17,1,20,g1.20,time1,temp20
Tank_49,9,F7,3,16,g3.16,time3,temp16
Tank_5,28,F14,2,16,g2.16,time2,temp16
Tank_51,19,F7,2,16,g2.16,time2,temp16
Tank_52,26,F6,1,16,g1.16,time1,temp16
Tank_54,33,F11,2,16,g2.16,time2,temp16
Tank_55,48,F17,2,16,g2.16,time2,temp16
Tank_56,62,F7,3,18,g3.18,time3,temp18
Tank_58,77,F7,2,18,g2.18,time2,temp18
Tank_59,84,F11,3,18,g3.18,time3,temp18
Tank_6,37,F9,1,16,g1.16,time1,temp16
Tank_60,88,F17,1,18,g1.18,time1,temp18
Tank_61,97,F11,2,18,g2.18,time2,temp18
Tank_62,110,F14,1,18,g1.18,time1,temp18
Tank_66,139,F14,3,20,g3.20,time3,temp20
Tank_67,147,F9,2,20,g2.20,time2,temp20
Tank_68,153,F11,1,20,g1.20,time1,temp20
Tank_69,158,F11,2,20,g2.20,time2,temp20
Tank_70,170,F9,1,20,g1.20,time1,temp20
Tank_78,65,F17,3,18,g3.18,time3,temp18
Tank_79,70,F7,1,18,g1.18,time1,temp18
Tank_8,46,F9,3,16,g3.16,time3,temp16
Tank_82,94,F6,1,18,g1.18,time1,temp18
Tank_83,102,F6,2,18,g2.18,time2,temp18
Tank_86,134,F7,3,20,g3.20,time3,temp20
Tank_88,146,F17,3,20,g3.20,time3,temp20
Tank_89,148,F7,2,20,g2.20,time2,temp20
Tank_90,159,F7,1,20,g1.20,time1,temp20
Tank_91,171,F6,1,20,g1.20,time1,temp20
Tank_92,178,F17,2,20,g2.20,time2,temp20
